strategy,sector,max_sector_weight,mean_sector_weight,months_within_1pt_of_cap,months_at_cap,total_months
historical_cvar (rho=0),healthcare_pharma,0.29999999986251047,0.17241836834956406,86,85,317
historical_cvar (rho=0),consumer_staples,0.299999999922367,0.22142284275249344,48,44,317
historical_cvar (rho=0),technology,0.29999999975405667,0.1498615618604266,26,21,317
historical_cvar (rho=0),industrials,0.2999999999010061,0.13971558481915466,46,41,317
regime_cvar (rho=0.5),healthcare_pharma,0.2999999999427268,0.17035056564062867,85,84,317
regime_cvar (rho=0.5),consumer_staples,0.29999999988803067,0.22847119511224429,54,51,317
regime_cvar (rho=0.5),technology,0.299999999929448,0.14659894209911764,31,30,317
regime_cvar (rho=0.5),industrials,0.3000000000369961,0.13917655442966054,39,38,317
regime_cvar (rho=1.0),healthcare_pharma,0.2999999999429372,0.16673237862384604,84,80,317
regime_cvar (rho=1.0),consumer_staples,0.29999999968385127,0.2232688735256845,59,50,317
regime_cvar (rho=1.0),technology,0.2999999999290655,0.1491138017580558,34,31,317
regime_cvar (rho=1.0),industrials,0.2999999999171724,0.13735406778271086,42,42,317
regime_cvar (rho=2.0),healthcare_pharma,0.2999999997341375,0.15463890449010276,53,46,317
regime_cvar (rho=2.0),consumer_staples,0.2999999998806468,0.2161763862947527,79,71,317
regime_cvar (rho=2.0),technology,0.2999999999479202,0.1510443154107458,31,28,317
regime_cvar (rho=2.0),industrials,0.29999999977001923,0.12650624445607073,31,31,317
regime_cvar (rho=3.0),healthcare_pharma,0.2999999996250835,0.15619504877483678,42,35,317
regime_cvar (rho=3.0),consumer_staples,0.2999999999284375,0.21089153580584538,74,62,317
regime_cvar (rho=3.0),technology,0.299999999857616,0.1575577176596049,28,27,317
regime_cvar (rho=3.0),industrials,0.29999999995616133,0.12730743816744863,29,28,317
