,avg_monthly_turnover,avg_monthly_cost_drag,approx_annualized_drag,ann_net_return,approx_ann_gross_return
equal_weight,0.0031545741324921,1.57728706624605e-06,1.89274447949526e-05,0.1091364950759175,0.10915542252071245
cap_weighted,0.0390350234774714,1.95175117387357e-05,0.0002342101408648284,0.09495946628884644,0.09519367642971127
min_variance,0.0971725792541096,4.85862896270548e-05,0.0005830354755246576,0.09295860824580049,0.09354164372132515
mean_variance,0.2038846321344364,0.0001019423160672182,0.0012233077928066184,0.09382276841793913,0.09504607621074575
risk_parity,0.0245537695690939,1.227688478454695e-05,0.0001473226174145634,0.10434540541837989,0.10449272803579446
momentum,0.2754994742376446,0.0001377497371188223,0.0016529968454258677,0.10239206970406278,0.10404506654948865
historical_cvar (rho=0),0.065218609120078,3.2609304560038985e-05,0.0004296138577988273,0.10564164800734899,0.10607126186514781
regime_cvar (rho=0.5),0.10298987373962831,5.149493686981416e-05,0.0006749460310122579,0.09879028566404657,0.09946523169505883
regime_cvar (rho=1.0),0.12457836463177596,6.228918231588797e-05,0.0008174669479261709,0.09997002188599513,0.1007874888339213
regime_cvar (rho=2.0),0.14880469592859555,7.440234796429778e-05,0.0009716902304124364,0.0947718527777488,0.09574354300816124
regime_cvar (rho=3.0),0.15002242083723713,7.501121041861858e-05,0.0009786953968142775,0.09343707198876605,0.09441576738558033
